megawatthours	BPAT	Demand	Day-ahead demand forecast	Net generation	Total interchange	CISO	Demand	Day-ahead demand forecast	Net generation	Total interchange	CPLE	Demand	Day-ahead demand forecast	Net generation	Total interchange	ERCO	Demand	Day-ahead demand forecast	Net generation	Total interchange	FPL	Demand	Day-ahead demand forecast	Net generation	Total interchange	ISNE	Demand	Day-ahead demand forecast	Net generation	Total interchange	MISO	Demand	Day-ahead demand forecast	Net generation	Total interchange	NYIS	Demand	Day-ahead demand forecast	Net generation	Total interchange	PACW	Demand	Day-ahead demand forecast	Net generation	Total interchange	PJM	Demand	Day-ahead demand forecast	Net generation	Total interchange	United States Lower 48 (region)	Demand	Day-ahead demand forecast	Net generation	Total interchange
01:00 EST 2/25/2021	NA	7153	7339	12081	8368	NA	24509	24022	15287	-7375	NA	5354	5298	5532	178	NA	32157	35982	32180	23	NA	10039	9411	9789	-250	NA	11765	10930	9280	-2485	NA	65735	67788	60111	-6421	NA	14860	14459	12882	-1978	NA	2693	2739	1790	-903	NA	80841	76869	85571	4733	NA	391659	390329	385633	-1383
02:00 EST 2/25/2021	NA	6736	6905	11632	8095	NA	23086	22359	13523	-7530	NA	5296	5232	5385	89	NA	30639	33731	30751	112	NA	9301	8813	9111	-190	NA	11223	10590	9029	-2194	NA	64739	66221	58648	-6765	NA	14463	14037	12475	-1988	NA	2543	2563	1966	-577	NA	79866	76601	85050	5187	NA	380240	379961	375163	-464
03:00 EST 2/25/2021	NA	6370	6580	10208	7000	NA	21759	20963	12684	-7928	NA	5314	5195	5455	141	NA	29745	32963	29859	114	NA	8899	8489	8726	-173	NA	10992	10430	8881	-2111	NA	64125	65380	57593	-7102	NA	14276	13794	12247	-2029	NA	2421	2440	1989	-432	NA	79382	77184	84388	5009	NA	373477	374971	368034	-1583
04:00 EST 2/25/2021	NA	6206	6315	9835	6977	NA	20906	20713	12470	-7395	NA	5425	5297	5520	95	NA	29389	32722	29503	114	NA	8682	8420	8551	-131	NA	11033	10480	8992	-2041	NA	63721	65179	57738	-6515	NA	14253	13756	12332	-1921	NA	2324	2343	2098	-226	NA	79930	79297	84613	4686	NA	371580	376239	366324	-1251
05:00 EST 2/25/2021	NA	6189	6131	9771	7085	NA	20196	20116	12181	-7083	NA	5697	5479	5603	-94	NA	29490	32930	29583	94	NA	8753	8643	8717	-36	NA	11398	10850	9381	-2017	NA	64236	65800	58533	-6230	NA	14502	14000	12486	-2016	NA	2303	2310	2113	-190	NA	81210	83914	85766	4559	NA	375042	383699	369983	-1236
06:00 EST 2/25/2021	NA	6242	6084	9919	7144	NA	19996	19698	12180	-7035	NA	6185	5996	5837	-348	NA	30173	33955	30249	76	NA	9391	9433	9492	101	NA	11894	11790	10131	-1763	NA	65356	67798	60177	-5902	NA	15332	14778	12508	-2824	NA	2301	2302	2115	-186	NA	84162	90854	88556	4397	NA	387163	401186	381913	-1702
07:00 EST 2/25/2021	NA	6338	6164	10160	7644	NA	19968	19623	11751	-7058	NA	6930	6657	6057	-873	NA	31955	36288	32011	56	NA	10529	10549	10496	-33	NA	13135	13160	11317	-1818	NA	69133	71857	64221	-5637	NA	16682	16045	13409	-3273	NA	2338	2335	2181	-157	NA	91169	95835	94821	3655	NA	414004	426446	407395	-2299
08:00 EST 2/25/2021	NA	6542	6470	10452	8046	NA	20194	20129	12744	-7094	NA	7265	6977	6448	-817	NA	35052	40270	35097	45	NA	11448	11294	11471	23	NA	13723	13750	11432	-2291	NA	74340	76847	69315	-6091	NA	17554	16988	14230	-3324	NA	2418	2433	2213	-205	NA	95407	97276	99839	4436	NA	439996	449434	433998	-2459
09:00 EST 2/25/2021	NA	7087	7048	11761	9084	NA	21717	21539	14764	-7414	NA	6932	6953	6900	-32	NA	36724	41768	36748	24	NA	12198	12057	12290	92	NA	13301	13170	10968	-2333	NA	76382	78596	71336	-6152	NA	17817	17527	14849	-2968	NA	2665	2681	2247	-418	NA	95114	96661	99586	4475	NA	449615	459323	444840	-1781
10:00 EST 2/25/2021	NA	7736	7772	12827	9635	NA	23577	23653	15469	-7716	NA	6567	6747	7074	507	NA	37616	41448	37621	4	NA	12826	12625	12913	87	NA	12885	12450	10462	-2423	NA	75419	78480	69761	-6898	NA	17714	17631	14876	-2838	NA	2959	3000	2412	-547	NA	92692	95547	97512	4823	NA	448788	459990	442794	-2087
11:00 EST 2/25/2021	NA	8029	8098	13744	10208	NA	23944	24017	18704	-6762	NA	6320	6591	7412	1092	NA	38431	41644	38436	4	NA	13508	13485	13539	31	NA	12565	11990	10156	-2409	NA	74119	77629	67900	-7267	NA	17526	17562	14408	-3118	NA	3140	3155	2227	-913	NA	90756	94318	96319	5566	NA	444923	457574	440736	-2014
12:00 EST 2/25/2021	NA	7977	7955	13056	9610	NA	22943	23091	19081	-3676	NA	6061	6407	7422	1361	NA	38868	41934	38873	4	NA	14306	14333	14312	6	NA	12373	11720	10205	-2168	NA	73309	76600	66298	-7851	NA	17353	17432	13873	-3480	NA	3098	3127	1989	-1109	NA	89110	92896	95217	6110	NA	439599	451707	433907	-1648
13:00 EST 2/25/2021	NA	7812	7693	12343	9369	NA	22052	21644	18560	-2699	NA	5877	6268	7309	1432	NA	39207	41541	39212	4	NA	15033	15082	15123	90	NA	12157	11660	10121	-2036	NA	72514	75527	65565	-7647	NA	17166	17426	14156	-3010	NA	3013	3054	1777	-1236	NA	87693	91499	93620	5930	NA	434647	444664	428244	-1319
14:00 EST 2/25/2021	NA	7611	7402	12162	9370	NA	21065	20487	17163	-2907	NA	5768	6153	7150	1382	NA	39311	41261	39315	4	NA	15608	15289	15826	218	NA	12055	11670	9980	-2075	NA	71478	74536	65195	-7039	NA	16952	17354	13905	-3047	NA	2902	2952	1627	-1275	NA	86366	90360	92037	5674	NA	429566	438478	423158	-1186
15:00 EST 2/25/2021	NA	7470	7164	12053	9817	NA	20388	19689	17016	-2827	NA	5731	6002	6954	1223	NA	39325	40839	39329	4	NA	16091	15629	16351	260	NA	12200	11900	10197	-2003	NA	70706	73540	64637	-6742	NA	16849	17343	13967	-2882	NA	2777	2859	1448	-1329	NA	85746	89781	90550	4808	NA	426705	434225	420931	-456
16:00 EST 2/25/2021	NA	7357	6951	12095	9719	NA	20042	19304	16877	-2581	NA	5678	5932	6574	896	NA	39185	40567	39190	4	NA	16293	15814	16615	322	NA	12582	12700	10898	-1684	NA	70017	72739	64394	-6347	NA	17010	17420	13833	-3177	NA	2714	2783	1462	-1252	NA	85601	91111	90206	4608	NA	425025	433443	419703	-253
17:00 EST 2/25/2021	NA	7184	6778	11846	9546	NA	20202	19490	16790	-3149	NA	5724	6011	6150	426	NA	39277	40280	39281	4	NA	16330	15750	16661	331	NA	13821	13830	12163	-1658	NA	69699	72657	64531	-5994	NA	17530	17889	14277	-3253	NA	2630	2719	1391	-1239	NA	86723	95232	91358	4639	NA	427412	437852	422834	-28
18:00 EST 2/25/2021	NA	7193	6640	11839	9434	NA	20598	19961	17350	-2907	NA	5901	6248	5990	89	NA	39628	40589	39632	4	NA	16133	15493	16497	364	NA	15308	15270	13572	-1736	NA	70540	73575	65640	-5791	NA	18601	18676	14945	-3656	NA	2586	2673	1409	-1177	NA	89124	98605	93809	4688	NA	435717	446343	430791	-482
19:00 EST 2/25/2021	NA	7170	6626	11938	9851	NA	21421	20976	16677	-3497	NA	6386	6784	6106	-280	NA	40517	41278	40521	4	NA	15954	15558	16389	435	NA	15913	15900	14057	-1856	NA	72587	75988	68173	-5623	NA	19310	19379	15799	-3511	NA	2573	2666	1347	-1226	NA	94259	98893	98793	4537	NA	450341	458066	444953	-118
20:00 EST 2/25/2021	NA	7341	6801	12635	10738	NA	22553	22089	14868	-6010	NA	6523	6970	6027	-496	NA	41715	42837	41748	33	NA	15626	14628	15989	363	NA	15498	15520	13479	-2019	NA	75599	78553	70673	-6218	NA	19219	19095	15724	-3495	NA	2627	2716	1258	-1369	NA	96017	98207	100892	4878	NA	461319	466940	454353	-973
21:00 EST 2/25/2021	NA	7678	7201	13816	11866	NA	24862	24065	16382	-8286	NA	6427	6869	6032	-395	NA	41858	43348	41676	-183	NA	14692	13614	14963	271	NA	14899	14990	12636	-2263	NA	75451	78274	70831	-5839	NA	18736	18575	15732	-3004	NA	2768	2853	1355	-1413	NA	95402	95994	99749	4350	NA	462278	467073	457468	115
22:00 EST 2/25/2021	NA	7871	7480	14205	11704	NA	26629	25967	16722	-8516	NA	6245	6638	6159	-86	NA	41142	42678	41100	-41	NA	13666	12518	13935	269	NA	14108	14200	11619	-2489	NA	74186	76850	70285	-5191	NA	17981	17829	15651	-2330	NA	2901	2978	1390	-1511	NA	93180	92191	96999	3822	NA	453117	458394	447537	151
23:00 EST 2/25/2021	NA	7748	7447	14124	11688	NA	26316	25694	16728	-8310	NA	5985	6345	6116	131	NA	39633	41128	39630	-3	NA	12454	11307	12696	242	NA	13129	13190	10481	-2648	NA	71770	74407	68126	-4800	NA	17019	16887	14605	-2414	NA	2874	2934	1457	-1417	NA	89889	88598	93652	3766	NA	438487	441952	433221	523
00:00 EST 2/26/2021	NA	7544	7256	13258	11065	NA	25512	24892	15576	-7872	NA	5704	6124	5873	169	NA	37523	38857	37570	47	NA	11053	10154	11222	169	NA	12414	12330	9862	-2552	NA	69078	71404	66329	-3777	NA	16137	15986	13628	-2509	NA	2768	2847	1328	-1440	NA	86792	86076	89582	2793	NA	419378	423674	412917	328
01:00 EST 2/26/2021	NA	7162	6935	12240	10381	NA	24588	23828	14427	-8214	NA	5541	5952	5800	259	NA	35517	37242	35660	144	NA	10125	9374	10287	162	NA	12297	11720	9790	-2507	NA	66782	67921	64917	-3087	NA	15516	15281	12750	-2766	NA	2654	2693	1345	-1309	NA	84832	84095	87329	2500	NA	404457	405404	397007	-894
02:00 EST 2/26/2021	NA	6745	6505	11383	9738	NA	23191	22399	13097	-7916	NA	5525	5931	5809	284	NA	34129	36725	34214	85	NA	9372	8881	9561	189	NA	12034	11460	9488	-2546	NA	65444	66351	63393	-3012	NA	15115	14923	12327	-2788	NA	2464	2518	1326	-1138	NA	83874	84042	86461	2590	NA	391891	392847	385591	529
03:00 EST 2/26/2021	NA	6386	6153	10780	9317	NA	21894	21120	12067	-8034	NA	5572	5950	5800	228	NA	33215	34986	33305	89	NA	8883	8532	9088	205	NA	11934	11380	9382	-2552	NA	65136	65500	63152	-3064	NA	14858	14699	12235	-2623	NA	2331	2391	1223	-1108	NA	84235	84841	87318	3086	NA	385936	386056	380493	719
04:00 EST 2/26/2021	NA	6200	6055	10333	8993	NA	21065	20773	11635	-7950	NA	5683	6126	5826	143	NA	32810	33673	32895	85	NA	8712	8405	8897	185	NA	11988	11440	9497	-2491	NA	65384	65237	63676	-2579	NA	14806	14663	12316	-2490	NA	2251	2294	1314	-937	NA	83910	86993	86746	2839	NA	383156	385628	378200	1053
05:00 EST 2/26/2021	NA	6163	6210	10212	8921	NA	20456	20167	11517	-7703	NA	5899	6415	5803	-96	NA	32731	33565	32796	65	NA	8758	8693	8947	189	NA	12224	11820	9857	-2367	NA	65080	65756	63801	-2199	NA	15085	14883	13060	-2025	NA	2211	2248	1314	-897	NA	85126	91520	87820	2696	NA	384838	392756	380638	1497
06:00 EST 2/26/2021	NA	6206	6258	10070	8761	NA	20213	19852	11446	-7487	NA	6359	7003	5926	-433	NA	33316	34453	33358	42	NA	9368	9389	9588	220	NA	12734	12740	10604	-2130	NA	65814	67724	64880	-2032	NA	15871	15559	13054	-2817	NA	2172	2226	1229	-943	NA	88740	98189	91668	2932	NA	395501	409437	391362	1515
07:00 EST 2/26/2021	NA	6278	6331	10151	8962	NA	20242	19834	11698	-7450	NA	6966	7730	6280	-686	NA	35034	36489	34860	-174	NA	10442	10533	10624	182	NA	14083	14090	12046	-2037	NA	69182	71773	68196	-2331	NA	17084	16625	14267	-2817	NA	2222	2249	1333	-889	NA	95664	102327	98872	3211	NA	420285	432635	416746	2045
08:00 EST 2/26/2021	NA	6582	6595	10678	9480	NA	20675	20388	12737	-7496	NA	7340	7987	6279	-1061	NA	37898	39525	37707	-190	NA	11418	11276	11575	157	NA	14575	14640	12276	-2299	NA	73841	76362	72606	-2682	NA	17889	17434	14995	-2894	NA	2306	2330	1367	-939	NA	99844	102396	103365	3524	NA	444595	452132	440631	1260
09:00 EST 2/26/2021	NA	7009	7129	11313	9630	NA	22053	21850	14359	-7514	NA	7470	8030	6425	-1045	NA	39397	41080	39151	-245	NA	12591	12241	12774	183	NA	13947	13970	11664	-2283	NA	75728	77696	74309	-2980	NA	17965	17803	14987	-2978	NA	2526	2553	1351	-1175	NA	99367	100182	103055	3691	NA	456262	460639	452325	877
10:00 EST 2/26/2021	NA	7681	7806	12777	10644	NA	23828	23724	15044	-8127	NA	7452	8039	6539	-913	NA	39863	41019	39845	-18	NA	13506	13192	13687	181	NA	13116	13030	11196	-1920	NA	75985	77298	74243	-3278	NA	17623	17816	14313	-3310	NA	2803	2844	1390	-1413	NA	97450	97692	101444	3997	NA	460762	461959	455691	496
11:00 EST 2/26/2021	NA	8033	8116	13842	11492	NA	24148	24028	17812	-7150	NA	7356	7919	6586	-770	NA	40219	40898	40218	-1	NA	14426	14349	14561	135	NA	12584	12630	10628	-1956	NA	75385	76276	73489	-3159	NA	17350	17683	14033	-3317	NA	2992	3024	1286	-1706	NA	95554	95320	99469	3918	NA	459954	458992	456054	602
12:00 EST 2/26/2021	NA	8048	8027	13591	11102	NA	23623	22914	18343	-5076	NA	7232	7749	6760	-472	NA	40217	40679	40217	NA	NA	15359	15075	15462	103	NA	12244	12350	10104	-2140	NA	74725	75138	73074	-2803	NA	17081	17481	13675	-3406	NA	3004	3034	1238	-1766	NA	93747	93145	97781	4037	NA	456508	452383	451247	148
13:00 EST 2/26/2021	NA	7816	7764	12968	10447	NA	22239	21438	17517	-3510	NA	7053	7492	6679	-374	NA	40128	40308	40127	NA	NA	16215	15549	16240	25	NA	12223	12100	9879	-2344	NA	73680	73858	71584	-3268	NA	16841	17312	13310	-3531	NA	2961	2997	1293	-1668	NA	92452	91352	96653	4204	NA	451281	444242	444605	-656
14:00 EST 2/26/2021	NA	7570	7460	12609	10197	NA	21236	20231	17020	-3329	NA	6966	7319	6466	-500	NA	39685	39715	39685	NA	NA	16928	15520	16930	2	NA	12098	12070	9940	-2158	NA	72989	72775	70903	-3015	NA	16745	17079	13297	-3448	NA	2884	2918	1268	-1616	NA	91653	90198	95890	4240	NA	447150	437357	441054	-322
15:00 EST 2/26/2021	NA	7357	7217	12108	9637	NA	20515	19476	17283	-2658	NA	6943	7159	6273	-670	NA	39215	39223	39196	-19	NA	17534	15644	17561	27	NA	12167	12510	9713	-2454	NA	72333	71726	70244	-3268	NA	16826	16944	13747	-3079	NA	2826	2852	1321	-1505	NA	91907	89589	95907	4003	NA	445472	433091	439824	-685
16:00 EST 2/26/2021	NA	7100	7023	11712	9209	NA	19902	19128	17183	-1860	NA	7005	7184	6239	-766	NA	38919	38844	38903	-16	NA	17841	15768	17826	-15	NA	12850	13250	10061	-2789	NA	71696	70853	69078	-3638	NA	17233	17006	14336	-2897	NA	2728	2799	1226	-1502	NA	92176	91044	95877	3705	NA	443811	432575	437660	-1060
