num_ratings,bin_size
157,1
172,1
178,1
186,1
190,1
196,1
199,1
201,1
207,1
209,1
213,1
214,1
217,1
218,1
220,1
221,1
224,1
227,1
232,1
233,1
236,1
239,1
241,1
242,1
243,1
246,1
247,1
251,1
253,1
259,1
262,1
264,1
269,1
270,1
276,1
277,1
281,1
285,1
288,1
289,1
291,1
294,1
297,1
298,1
309,1
311,1
319,1
320,1
335,1
340,1
341,1
342,1
345,1
351,1
356,1
367,1
368,1
376,1
380,1
387,1
389,1
403,1
407,1
408,1
412,1
419,1
420,1
422,1
427,1
431,1
434,1
446,1
456,1
462,1
465,1
466,1
468,1
470,1
474,1
482,1
494,1
506,1
517,1
523,1
526,1
534,1
552,1
568,1
575,1
585,1
586,1
615,1
618,1
639,1
649,1
723,1
732,1
883,1
1295,1
2502,1
137,2
141,2
149,2
152,2
160,2
163,2
167,2
168,2
173,2
174,2
180,2
183,2
185,2
189,2
198,2
200,2
202,2
211,2
212,2
225,2
226,2
235,2
237,2
244,2
252,2
258,2
263,2
267,2
273,2
283,2
301,2
326,2
349,2
350,2
354,2
369,2
379,2
391,2
116,3
132,3
153,3
154,3
159,3
164,3
166,3
176,3
187,3
188,3
192,3
193,3
194,3
197,3
203,3
205,3
216,3
219,3
222,3
230,3
265,3
284,3
321,3
114,4
117,4
126,4
142,4
146,4
147,4
151,4
161,4
169,4
181,4
191,4
195,4
228,4
229,4
250,4
257,4
365,4
138,5
140,5
155,5
156,5
158,5
165,5
171,5
177,5
179,5
184,5
210,5
119,6
120,6
125,6
127,6
128,6
145,6
170,6
182,6
109,7
111,7
121,7
123,7
124,7
129,7
134,7
135,7
144,7
148,7
150,7
175,7
96,8
115,8
118,8
143,8
104,9
131,9
136,9
139,9
162,9
97,10
100,10
101,10
105,10
108,10
112,10
122,10
133,10
86,11
87,11
103,11
113,11
130,11
84,12
93,12
98,12
99,12
110,12
81,13
107,13
102,14
106,14
82,17
89,17
92,17
95,18
88,19
90,19
77,20
78,20
80,21
91,21
85,22
94,22
76,23
71,25
73,25
72,27
74,27
75,27
79,27
83,27
69,28
70,29
63,31
66,33
62,34
67,35
65,36
64,39
58,44
60,44
61,44
68,44
51,45
55,45
59,46
53,48
57,49
56,54
47,55
49,58
54,58
50,60
52,60
48,74
46,75
45,82
42,83
44,84
40,89
43,89
41,94
38,105
39,108
36,117
37,125
35,136
34,140
33,154
32,170
31,172
29,198
30,199
27,218
28,228
26,271
25,286
24,300
22,341
23,378
20,422
21,435
19,485
18,571
17,650
16,717
15,845
14,1020
13,1201
12,1409
11,1742
10,2142
9,2579
8,3262
7,4468
6,6101
5,8975
4,14069
3,25903
2,59449
1,196137
